time_delay_command_to_ev_measurement_s,pairing_accuracy
0,0.33
1,0.31
2,0.29
3,0.33666666666666667
4,0.29333333333333333
5,0.29333333333333333
6,0.2833333333333333
7,0.32666666666666666
8,0.3466666666666667
9,0.4066666666666667
10,0.38666666666666666
11,0.44666666666666666
12,0.44
13,0.49333333333333335
14,0.5233333333333333
15,0.5066666666666667
16,0.43666666666666665
17,0.5166666666666667
18,0.4866666666666667
19,0.49666666666666665
20,0.45
21,0.44
22,0.45
23,0.44
24,0.4266666666666667
25,0.43
26,0.43333333333333335
27,0.44
28,0.45666666666666667
29,0.43333333333333335
