time_delay_command_to_ev_measurement_s,pairing_accuracy
0,0.6666666666666666
1,0.3
2,0.15333333333333332
3,0.2966666666666667
4,0.24666666666666667
5,0.22333333333333333
6,0.21666666666666667
7,0.19333333333333333
8,0.9933333333333333
9,0.95
10,0.9
11,0.84
12,0.8066666666666666
13,0.9866666666666667
14,0.9733333333333334
15,0.9033333333333333
16,0.4766666666666667
17,0.2866666666666667
18,0.63
19,0.53
20,0.4766666666666667
21,0.45666666666666667
22,0.45666666666666667
23,0.9933333333333333
24,0.9933333333333333
25,0.9933333333333333
26,0.9933333333333333
27,0.9866666666666667
28,1.0
29,0.9933333333333333
