time_delay_command_to_ev_measurement_s,pairing_accuracy
0,0.3466666666666667
1,0.2966666666666667
2,0.37
3,0.43
4,0.44333333333333336
5,0.47
6,0.4066666666666667
7,0.39666666666666667
8,0.4033333333333333
9,0.4033333333333333
10,0.4
11,0.3933333333333333
12,0.41333333333333333
13,0.4166666666666667
14,0.4166666666666667
15,0.42333333333333334
16,0.4066666666666667
17,0.42333333333333334
18,0.41
19,0.41
20,0.09666666666666666
21,0.13
22,0.17333333333333334
23,0.21
24,0.26
25,0.23
26,0.25333333333333335
27,0.23666666666666666
28,0.23
29,0.27
