time_delay_command_to_ev_measurement_s,pairing_accuracy
0,0.85
1,0.38333333333333336
2,0.2
3,0.41
4,0.3566666666666667
5,0.30666666666666664
6,0.29333333333333333
7,0.31
8,0.99
9,0.9933333333333333
10,0.9633333333333334
11,0.93
12,0.8766666666666667
13,1.0
14,0.9933333333333333
15,0.9933333333333333
16,0.9933333333333333
17,0.9933333333333333
18,1.0
19,1.0
20,0.3566666666666667
21,0.07333333333333333
22,0.03
23,0.06333333333333334
24,0.05
25,0.05333333333333334
26,0.05
27,0.04666666666666667
28,0.9266666666666666
29,0.8533333333333334
