method,num_patterns,repeat,ev_start_time,cost_matrix_sec,assignment_sec,total_sec,matching_accuracy
Correlation,50,1,25,0.8220180829998753,9.812500002226443e-05,0.8221162079998976,1.0
Correlation+DTW,50,1,25,1.289668458000051,4.2624999878171366e-05,1.2897110829999292,1.0
Correlation+Euclidean,50,1,25,0.9170390839999527,6.158299993330729e-05,0.917100666999886,1.0
Pure-DTW,50,1,25,0.4283601249999265,4.054200007885811e-05,0.42840066700000534,1.0
Pure-Euclidean,50,1,25,0.8926474580000558,4.23750000209111e-05,0.8926898330000768,1.0
Correlation,100,1,25,3.3916407499998513,0.000164416000188794,3.39180516600004,1.0
Correlation+DTW,100,1,25,5.342996707999873,7.804200004102313e-05,5.343074749999914,1.0
Correlation+Euclidean,100,1,25,3.7588225409999723,0.0001021250000121654,3.7589246659999844,1.0
Pure-DTW,100,1,25,1.804413833000126,8.395899999413814e-05,1.8044977920001202,1.0
Pure-Euclidean,100,1,25,4.338580333999971,8.945799982029712e-05,4.338669791999791,1.0
Correlation,300,1,25,31.575604209000176,0.001576790999934019,31.57718100000011,1.0
Correlation+DTW,300,1,25,47.67894133300024,0.0003465839999989839,47.67928791700024,1.0
Correlation+Euclidean,300,1,25,33.89248595800018,0.0007229170000755403,33.893208875000255,1.0
Pure-DTW,300,1,25,15.812817417000133,0.00047425000002476736,15.813291667000158,0.9933333333333333
Pure-Euclidean,300,1,25,33.36785604099987,0.0007979590000104508,33.36865399999988,1.0
Correlation,600,1,25,124.38573833400005,0.01009333299998616,124.39583166700004,0.9966666666666667
Correlation+DTW,600,1,25,190.882753416,0.0011248750001868757,190.8838782910002,1.0
Correlation+Euclidean,600,1,25,135.39006824999979,0.004034416000195051,135.39410266599998,1.0
Pure-DTW,600,1,25,63.73427258299989,0.0019922080000469577,63.73626479099994,0.9966666666666667
Pure-Euclidean,600,1,25,133.57224374999987,0.004424708999977156,133.57666845899985,1.0
Correlation,1000,1,25,345.36015104199987,0.04120408300013878,345.401355125,0.996
Correlation+DTW,1000,1,25,532.6281877920001,0.002999166999870795,532.6311869589999,0.998
Correlation+Euclidean,1000,1,25,374.468138875,0.016257833000054234,374.4843967080001,1.0
Pure-DTW,1000,1,25,175.54705999999987,0.00801970800057461,175.55507970800045,0.972
Pure-Euclidean,1000,1,25,370.866750917,0.01568604099975346,370.88243695799974,1.0
